name,stars,city,state_name,party,education,salary,median_rent_2025_10_31,population_density
Saige Cafe,2.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
The Hungry A,4.5,Springfield,Pennsylvania,Democrat,,60698.0,,
Xoom Juice,4.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Treehouse Café,4.5,Wilmington,Delaware,Democrat,38.7,55269.0,1756.0830026455026,
7-Eleven,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Dunkin',2.0,Pemberton,New Jersey,Democrat,,88333.0,,
Carmelita's Crazy Cravings,5.0,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Wawa,3.5,Hockessin,Delaware,Democrat,38.7,172695.0,3090.0,
Dunkin',2.0,Norristown,Pennsylvania,Democrat,55.4,65058.0,1698.5733057280884,
Starbucks,2.5,Jenkintown,Pennsylvania,Democrat,55.4,114306.0,1958.388888888889,
Dunkin',2.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
7-Eleven,2.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Wawa,3.0,Claymont,Delaware,Democrat,38.7,75808.0,1550.7222222222224,
Zizzo's Coffeehouse,3.5,Goleta,California,Democrat,38.6,118039.0,3642.484920634921,
More Than Coffee,4.5,Manchester,Missouri,Democrat,46.7,92839.0,1347.8333333333333,
Cafe Beignet - Canal Street,4.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Puccino's Coffee,2.5,Harahan,Louisiana,Republican,31.2,78222.0,1320.2777777777776,
Black & Brew,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Starbucks,2.5,Sahuarita,Arizona,Democrat,37.9,100719.0,1911.47095959596,
Starbucks,2.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,3.0,North Wales,Pennsylvania,Democrat,55.4,115833.0,1930.419047619048,
Starbucks,3.5,Dunedin,Florida,Republican,38.5,68068.0,2087.5775446775447,
Teavana,2.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Caffe Craze,4.0,Malvern,Pennsylvania,Democrat,58.0,106638.0,2467.1635327635327,
Dunkin',2.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Starbucks,3.0,West Chester,Pennsylvania,Democrat,58.0,81492.0,2121.137626262627,
Cafe 128,4.0,Trenton,New Jersey,Democrat,47.3,47102.0,2197.5047619047623,
Dunkin',2.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Milk+Honey807,4.0,Wilmington,Delaware,Democrat,38.7,55269.0,1756.0830026455026,
Latté Lounge,4.5,Florissant,Missouri,Democrat,46.7,66344.0,1490.5542857142857,
McDonald's,2.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Sparks Coffee Shop,4.5,Sparks,Nevada,Democrat,37.3,86979.0,1964.762212770985,
Cafe Vinh Long,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
The Spicemans Kitchen,4.5,Tarpon Springs,Florida,Republican,38.5,68877.0,2048.196581196581,
7-Eleven,2.5,Riverview,Florida,Republican,39.6,95442.0,2171.145685305324,
Tout De Suite Cafe,4.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Olive The World Bistro,4.5,Tarpon Springs,Florida,Republican,38.5,68877.0,2048.196581196581,
Starbucks - Reno,3.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Bluestone Lane,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
biscuit & buns on banks,3.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Little Europe,4.0,Madeira Beach,Florida,Republican,38.5,79798.0,2394.3888888888887,
Sweet creams,4.0,Santa Barbara,California,Democrat,38.6,101672.0,3646.9091098603294,
Kavka Coffee,5.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
The Human Bean,4.0,Sparks,Nevada,Democrat,37.3,86979.0,1964.762212770985,
Dunkin',3.0,Riverview,Florida,Republican,39.6,95442.0,2171.145685305324,
Odyssey Coffee Shop,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
SkyRoast Coffee,4.0,New Hope,Pennsylvania,Republican,45.2,158929.0,,
Craft Kafe,4.5,Saint Petersburg,Florida,Republican,,71302.0,,
McDonald's,2.0,Wilmington,Delaware,Democrat,38.7,55269.0,1756.0830026455026,
Starbucks,3.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Tree view cafe,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,2.0,St. Petersburg,Florida,Republican,38.5,73118.0,,1632.0
Starbucks,3.5,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Wawa,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Erthe Coffee and Pizzeria,4.5,Hermitage,Tennessee,Democrat,,75197.0,,
Gryphon Cafe,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Starbucks,2.0,Brentwood,Tennessee,Republican,65.8,184720.0,2257.203703703704,
Stolen Sun,4.0,Exton,Pennsylvania,Democrat,58.0,121189.0,2224.408187134503,
Wawa,4.0,Bensalem,Pennsylvania,Republican,,60698.0,1804.6603174603176,
McDonald's,2.0,New Palestine,Indiana,Republican,35.9,93170.0,,
Sips,5.0,Hermitage,Tennessee,Democrat,,75197.0,,
Le Petit Cafe,5.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Vertical Coffee Roasters,4.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Perk It Up,4.5,Saint Louis,Missouri,Democrat,,55279.0,,
TeBella Tea Company,4.5,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Dunkin',1.5,New Port Richey,Florida,Republican,31.3,46160.0,1753.8333333333333,
McDonald's,2.5,Cherry Hill,New Jersey,Democrat,38.8,91000.0,2419.9864433811804,
McDonald's,1.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Olde Town Spice Shoppe,4.5,Saint Charles,Missouri,Republican,,55279.0,,
Starbucks,3.5,Boise,Idaho,Republican,46.3,76402.0,1769.288449703903,
